datetime,temperature,precipitation_total,wind_speed,cloud_cover_total,sunshine_duration
2023-04-04 15:00:00,9.760245,0.0,14.264361,0.0,60.0
2023-04-04 16:00:00,9.500245,0.0,13.246826,0.0,60.0
2023-04-04 17:00:00,8.620245,0.0,10.195057,0.0,60.0
2023-04-04 18:00:00,5.880245,0.0,7.653705,0.0,60.0
2023-04-04 19:00:00,4.110245,0.0,8.209263,2.0,5.274579
2023-04-04 20:00:00,2.8302455,0.0,8.161764,2.0,0.0
2023-04-04 21:00:00,1.6102453,0.0,7.928177,6.0,0.0
2023-04-04 22:00:00,1.0702454,0.0,9.178235,11.0,0.0
2023-04-04 23:00:00,0.5802454,0.0,8.854829,23.0,0.0
2023-04-05 00:00:00,0.11024541,0.0,7.42159,48.0,0.0
2023-04-05 01:00:00,0.1202454,0.0,5.771239,78.0,0.0
2023-04-05 02:00:00,0.6102454,0.0,4.1046314,93.0,0.0
2023-04-05 03:00:00,0.5802454,0.0,3.6,95.0,0.0
2023-04-05 04:00:00,-0.33975458,0.0,5.00128,19.0,0.0
2023-04-05 05:00:00,-0.9197546,0.0,5.154415,12.0,0.2489899
2023-04-05 06:00:00,-0.6697546,0.0,3.396233,5.0,56.9697
2023-04-05 07:00:00,2.2102454,0.0,2.9024127,14.0,51.51515
2023-04-05 08:00:00,4.2502456,0.0,4.829907,16.0,50.303032
2023-04-05 09:00:00,5.8502455,0.0,5.991594,19.0,48.484848
2023-04-05 10:00:00,7.2602453,0.0,5.5887027,26.0,44.242424
2023-04-05 11:00:00,8.3102455,0.0,5.937272,17.0,49.696968
2023-04-05 12:00:00,9.230246,0.0,5.2416787,0.0,60.0
2023-04-05 13:00:00,9.920245,0.0,4.3349743,0.0,60.0
2023-04-05 14:00:00,10.5602455,0.0,4.73506,0.0,60.0
2023-04-05 15:00:00,10.770246,0.0,5.1544156,0.0,60.0
2023-04-05 16:00:00,10.580245,0.0,5.937272,21.0,47.272724
2023-04-05 17:00:00,9.770246,0.0,4.73506,17.0,49.696968
2023-04-05 18:00:00,5.8102455,0.0,6.4799995,0.0,60.0
2023-04-05 19:00:00,3.2802453,0.0,7.6367526,1.0,6.731313
2023-04-05 20:00:00,3.4702454,0.0,7.69592,0.0,0.0
2023-04-05 21:00:00,3.2302456,0.0,5.815978,1.0,0.0
2023-04-05 22:00:00,3.5802455,0.0,3.671294,0.0,0.0
2023-04-05 23:00:00,3.4802456,0.0,1.0182338,2.0,0.0
2023-04-06 00:00:00,2.6202455,0.0,2.5455842,3.0,0.0
2023-04-06 01:00:00,1.0702454,0.0,3.671294,1.0,0.0
2023-04-06 02:00:00,-0.2697546,0.0,3.671294,1.0,0.0
2023-04-06 03:00:00,-1.3197546,0.0,3.4152596,7.2000003,0.0
2023-04-06 04:00:00,-1.8697547,0.0,3.0758414,18.6,0.0
2023-04-06 05:00:00,-2.0797548,0.0,3.0758414,6.6000004,2.1311111
2023-04-06 06:00:00,-0.029754579,0.0,4.198285,9.3,54.363636
2023-04-06 07:00:00,3.2702456,0.0,4.2136917,18.6,48.727276
2023-04-06 08:00:00,6.360245,0.0,3.96,31.0,41.21212
2023-04-06 09:00:00,8.610246,0.0,4.896529,79.0,12.121214
2023-04-06 10:00:00,10.370245,0.0,4.6800003,85.0,8.48485
2023-04-06 11:00:00,11.490245,0.0,5.991594,95.0,2.4242413
2023-04-06 12:00:00,12.390245,0.0,6.638072,95.0,2.4242413
2023-04-06 13:00:00,12.780245,0.0,6.9153743,94.0,3.0303025
2023-04-06 14:00:00,12.820246,0.0,6.489992,91.0,4.8484864
2023-04-06 15:00:00,12.590245,0.0,5.8048253,81.0,10.909091
2023-04-06 16:00:00,12.0602455,0.0,3.219938,92.0,4.242425
2023-04-06 17:00:00,11.460245,0.0,1.8,97.0,1.2121224
2023-04-06 18:00:00,11.0602455,0.0,1.5273507,95.0,2.4242413
2023-04-06 19:00:00,9.410245,0.0,2.6208394,84.0,1.2449493
2023-04-06 20:00:00,8.440246,0.0,5.315336,77.0,0.0
2023-04-06 21:00:00,8.750245,0.0,3.9763298,66.0,0.0
2023-04-06 22:00:00,8.650246,0.0,5.771239,75.0,0.0
2023-04-06 23:00:00,8.100245,0.0,4.68,40.0,0.0
2023-04-07 00:00:00,7.900245,0.0,4.3349743,18.0,0.0
2023-04-07 01:00:00,6.940245,0.0,4.0249224,19.0,0.0
2023-04-07 02:00:00,6.4702454,0.0,3.396233,20.0,0.0
2023-04-07 03:00:00,5.9702454,0.0,2.9024127,70.0,0.0
2023-04-07 04:00:00,6.3002453,0.0,3.0758414,64.0,0.0
2023-04-07 05:00:00,5.6202455,0.1,4.3349743,71.0,1.206734
2023-04-07 06:00:00,6.1002455,0.2,5.3999996,96.0,1.8181801
2023-04-07 07:00:00,6.1602454,0.3,6.28713,100.0,0.0
2023-04-07 08:00:00,6.0502453,0.3,6.763786,100.0,0.0
2023-04-07 09:00:00,5.790245,0.4,6.6087217,100.0,0.0
2023-04-07 10:00:00,6.9502454,1.3,6.3690495,88.0,6.666666
2023-04-07 11:00:00,7.6802454,1.4,6.1305785,90.0,5.454544
2023-04-07 12:00:00,8.000245,0.3,5.0911684,88.0,6.666666
2023-04-07 13:00:00,8.700245,0.2,4.3349743,81.0,10.909091
2023-04-07 14:00:00,8.960245,0.4,4.5820518,73.0,15.757578
2023-04-07 15:00:00,9.140245,0.2,3.396233,71.0,16.969696
2023-04-07 16:00:00,9.370245,0.1,3.0758414,29.7,42.0
2023-04-07 17:00:00,9.140245,0.2,3.8939953,29.1,42.363636
2023-04-07 18:00:00,8.300245,0.0,4.510787,29.7,42.0
2023-04-07 19:00:00,7.6402454,0.0,1.484318,21.900002,7.5023227
2023-04-07 20:00:00,6.730245,0.0,0.8049845,28.0,0.0
2023-04-07 21:00:00,6.770245,0.0,0.5091169,27.0,0.0
2023-04-07 22:00:00,5.770245,0.0,2.1897945,72.0,0.0
2023-04-07 23:00:00,5.5702453,0.0,2.1897945,53.0,0.0
2023-04-08 00:00:00,5.360245,0.0,1.1384199,28.0,0.0
2023-04-08 01:00:00,5.5302453,0.0,1.1384199,21.0,0.0
2023-04-08 02:00:00,5.7802453,0.0,1.9386592,2.0,0.0
2023-04-08 03:00:00,5.8702455,0.0,3.6,10.0,0.0
2023-04-08 04:00:00,5.7802453,0.0,2.5455842,21.0,0.0
2023-04-08 05:00:00,5.8902454,0.0,1.0182338,31.0,4.2814813
2023-04-08 06:00:00,5.3202453,0.0,0.8049845,51.0,29.09091
2023-04-08 07:00:00,6.7402453,0.0,1.835647,47.0,31.51515
2023-04-08 08:00:00,8.220245,0.0,4.6938252,62.0,22.424244
2023-04-08 09:00:00,9.550245,0.0,5.771239,99.0,0.0
2023-04-08 10:00:00,10.380245,0.0,5.1544156,45.0,32.727272
2023-04-08 11:00:00,10.840245,0.2,6.0347,30.0,41.81818
2023-04-08 12:00:00,11.350245,0.2,7.928178,55.0,26.666664
2023-04-08 13:00:00,11.490245,0.0,8.64,46.0,32.121212
2023-04-08 14:00:00,11.650246,0.1,9.028754,35.0,38.78788
2023-04-08 15:00:00,12.010245,0.0,9.779817,52.0,28.48485
2023-04-08 16:00:00,12.030245,0.0,10.182337,72.0,16.363636
2023-04-08 17:00:00,11.730246,0.0,8.287822,76.0,13.939394
2023-04-08 18:00:00,10.250245,0.0,5.506941,71.0,16.969696
2023-04-08 19:00:00,9.530245,0.0,6.28713,68.0,3.4601014
2023-04-08 20:00:00,8.880245,0.0,6.830519,72.0,0.0
2023-04-08 21:00:00,8.650246,0.0,6.696387,82.0,0.0
2023-04-08 22:00:00,7.8902454,0.0,6.193674,75.0,0.0
2023-04-08 23:00:00,6.7402453,0.0,5.95906,79.0,0.0
2023-04-09 00:00:00,5.770245,0.0,5.4833565,61.0,0.0
2023-04-09 01:00:00,4.4402456,0.0,4.2136917,58.0,0.0
2023-04-09 02:00:00,3.7902455,0.0,4.0249224,46.0,0.0
2023-04-09 03:00:00,3.4802456,0.0,4.829907,35.0,0.0
2023-04-09 04:00:00,3.4302454,0.0,4.829907,34.0,0.0
2023-04-09 05:00:00,2.8502455,0.0,5.0142193,3.0,7.9676766
2023-04-09 06:00:00,4.4602456,0.0,5.04,6.0,56.363636
2023-04-09 07:00:00,6.6202455,0.0,4.379589,9.0,54.545452
2023-04-09 08:00:00,8.340245,0.0,5.1544156,13.0,52.121212
2023-04-09 09:00:00,9.790245,0.0,6.924738,37.0,37.57576
2023-04-09 10:00:00,11.540245,0.0,6.87779,38.0,36.969692
2023-04-09 11:00:00,12.720245,0.0,9.255571,72.0,16.363636
2023-04-09 12:00:00,13.450245,0.0,8.311245,56.0,26.060608
2023-04-09 13:00:00,14.380245,0.0,7.968939,35.0,38.78788
2023-04-09 14:00:00,15.010245,0.0,7.172949,40.0,35.757576
2023-04-09 15:00:00,15.340245,0.0,5.815978,27.0,43.636364
2023-04-09 16:00:00,15.130245,0.0,4.510787,0.0,60.0
2023-04-09 17:00:00,14.280245,0.0,2.5455842,2.0,58.78788
2023-04-09 18:00:00,12.780245,0.0,2.7416782,0.0,60.0
2023-04-09 19:00:00,11.640245,0.0,3.671294,0.0,12.483334
2023-04-09 20:00:00,8.740245,0.0,5.3517847,0.0,0.0
2023-04-09 21:00:00,6.2802453,0.0,5.154415,0.0,0.0
2023-04-09 22:00:00,6.1002455,0.0,6.439876,0.0,0.0
2023-04-09 23:00:00,5.230245,0.0,6.9153743,0.90000004,0.0
2023-04-10 00:00:00,4.730245,0.0,6.9153743,9.6,0.0
2023-04-10 01:00:00,4.2502456,0.0,4.198285,17.1,0.0
2023-04-10 02:00:00,3.5702453,0.0,4.6800003,30.000002,0.0
2023-04-10 03:00:00,3.0702453,0.0,5.3517847,30.000002,0.0
2023-04-10 04:00:00,2.9702454,0.0,6.193674,30.000002,0.0
2023-04-10 05:00:00,2.3702455,0.0,5.3517847,29.7,7.1516666
2023-04-10 06:00:00,3.4102454,0.0,5.6233797,30.000002,41.81818
2023-04-10 07:00:00,6.3702455,0.0,5.3999996,24.0,45.454544
2023-04-10 08:00:00,9.010245,0.0,5.3517847,29.7,42.0
2023-04-10 09:00:00,11.250245,0.0,6.618519,30.000002,41.81818
2023-04-10 10:00:00,13.440246,0.0,7.491114,29.7,42.0
2023-04-10 11:00:00,14.990245,0.0,8.4042845,29.7,42.0
2023-04-10 12:00:00,16.130245,0.0,8.759178,51.0,29.09091
2023-04-10 13:00:00,16.880245,0.0,9.565437,79.0,12.121214
2023-04-10 14:00:00,17.380245,0.0,10.009036,90.0,5.454544
